,code,type,company
351,C-FPAE,L2T,PAL Airlines Ltd.
352,C-FPAW,L4J,Pratt & Whitney Canada Corp./pratt & Whitney Canada Cie
353,C-FPBC,L2T,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.
354,C-FPCA,L2J,Air Canada
355,C-FPDN,L2J,Air Canada
356,C-FPIJ,L2J,Cargojet Airways Ltd.
357,C-FPQB,L2J,Air Canada
358,C-FPRP,L2J,Sunwing Airlines Inc.
359,C-FPVC,H1T,Bell Helicopter Textron Canada Limitée/ Bell Helicopter Textron Canada Limited
360,C-FPWB,L2J,Versajet Inc.
361,C-FPWE,L2J,Air Canada
362,C-FPYP,L2J,Health Care Relocations Ltd.
363,C-FQWE,L2T,Westjet Encore Ltd.
364,C-FRAM,L2J,Air Canada
365,C-FRAX,L2J,Westjet
366,C-FREE,L2J,Fast Air Ltd.
367,C-FREQ,L2T,Chartright Air Inc.
368,C-FRIQ,H1T,Martin O'bomsawin
369,C-FRJZ,L2J,650584 Alberta Inc (latitude Air Ambulance)
370,C-FRKI,L2J,Irving Air Service Inc.
371,C-FRQK,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
372,C-FRQM,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
373,C-FRQN,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
374,C-FRQP,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
375,C-FRQW,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
376,C-FRSA,L2J,Air Canada
377,C-FRSE,L2J,Air Canada
378,C-FRSI,L2J,Air Canada
379,C-FRSO,L2J,Air Canada
380,C-FRSR,L2J,Air Canada
381,C-FRTG,L2J,Air Canada
382,C-FRTU,L2J,Air Canada
383,C-FRTW,L2J,Air Canada
384,C-FRWA,L2J,Westjet
385,C-FRYV,L2J,Westjet
386,C-FSBV,L2J,Air Canada
387,C-FSCY,L2J,Air Canada
388,C-FSDB,L2J,Air Canada
389,C-FSDL,L2J,London Air Services Limited
390,C-FSDQ,L2J,Air Canada
391,C-FSDW,L2J,Air Canada
392,C-FSEP,L2J,Image Air Charter Ltd.
393,C-FSEQ,L2J,Air Canada
394,C-FSES,L2J,Air Canada
395,C-FSIL,L2J,Air Canada
396,C-FSIP,L2J,Air Canada
397,C-FSIQ,L2J,Air Canada
398,C-FSJH,L2J,Air Canada
399,C-FSJJ,L2J,Air Canada
400,C-FSKZ,L2J,Air Canada
401,C-FSLU,L2J,Air Canada
402,C-FSNC,L2J,Syncrude Canada Ltd
403,C-FSNP,L2T,The Airborne Sensing Corporation
404,C-FSNQ,L2J,Air Canada
405,C-FSNU,L2J,Air Canada
406,C-FSOC,L2J,Air Canada
407,C-FSOI,L2J,Air Canada
408,C-FSTJ,H1T,Québec Hélicoptères Inc./Quebec Helicopters Inc.
409,C-FSUD,L2T,Mag Aerospace Canada Corp.
410,C-FSUE,H2T,1507796 Ontario Limited
411,C-FSWE,L2T,Westjet Encore Ltd.
412,C-FSXR,L2J,Sobeys Capital Incorporated/sobeys Capital Incorporée
413,C-FTAB,L1T,Air Bravo Corp.
414,C-FTEL,G550,Telus Communications Inc.
415,C-FTEN,L2T,Westjet Encore Ltd.
416,C-FTIT,H1T,Aviation Cozach Inc.
417,C-FTJV,L2J,Air Canada
418,C-FTJZ,L2J,Jazz Aviation Lp
419,C-FTKO,H1T,9094-6039 Quebec Inc
420,C-FTLF,L1P,Douglas (doug) Sinclair
421,C-FTOH,L2J,Sunwing Airlines Inc.
422,C-FTOR,L2J,Jet-share Aviation Inc.
423,C-FTXE,L2J,Sunwing Airlines Inc.
424,C-FTXF,L2J,Glen Mair
425,C-FTXQ,L2T,Summit Air
426,C-FUCS,L2J,Westjet
427,C-FUJA,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
428,C-FUJE,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
429,C-FUJR,L2J,Westjet
430,C-FUJZ,L2J,Jazz Aviation Lp
431,C-FUMC,H1T,Bell Helicopter Textron Canada Limitée/ Bell Helicopter Textron Canada Limited
432,C-FUMF,L2J,Westjet
433,C-FUPQ,L2T,Exact Air Inc.
434,C-FUSM,L2J,Westjet
435,C-FUTL,L2J,2106701 Ontario Inc (novajet)
436,C-FUWE,L2T,Westjet Encore Ltd.
437,C-FUWS,L2J,Westjet
438,C-FVLZ,L2J,Air Canada
439,C-FVMI,L1P,Brent Van Moorsel
440,C-FVPK,L1T,Private Air Inc.
441,C-FVTM,H1T,Geotech Aviation Ltd.
442,C-FVVA,H1T,Asaph Fipke
443,C-FVZZ,L1P,6769292 Canada Inc.
444,C-FWCN,L2J,Westjet
445,C-FWEP,L2T,Westjet Encore Ltd.
446,C-FWEW,L2T,Westjet Encore Ltd.
447,C-FWEZ,L2T,Westjet Encore Ltd.
448,C-FWGH,L2J,Sunwing Airlines Inc.
449,C-FWIJ,L2J,Westjet
450,C-FWJS,L2J,Westjet
451,C-FWRR,L2J,Air Georgian Limited
452,C-FWRX,L2J,Air Partners Corp.
453,C-FWSE,L2J,Westjet
454,C-FWSF,L2J,Westjet
455,C-FWSI,L2J,Westjet
456,C-FWSK,L2J,Westjet
457,C-FWSO,L2J,Westjet
458,C-FWSV,L2J,Westjet
459,C-FWSX,L2J,Westjet
460,C-FWSY,L2J,Westjet
461,C-FWTF,L2J,Flightpath Charter Airways Inc.
462,C-FWUT,L2J,Chartright Air Inc.
463,C-FWVJ,L2J,Westjet
464,C-FXAB,L1T,Air Bravo Corp.
465,C-FXCD,L2J,Air Canada
466,C-FXDE,L2T,Exact Air Inc.
467,C-FXDP,H1T,2080061 Ontario Inc. (skycare Air Ambulance)
468,C-FXGO,L2J,Partner Jet Inc
469,C-FXJC,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
470,C-FXJF,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
471,C-FXMS,L2J,Westjet
472,C-FXOO,L3J,2106701 Ontario Inc (novajet)
473,C-FXWJ,L2J,Westjet
474,C-FYAI,L2T,Air Inuit Ltd. Air Inuit Ltee
475,C-FYAU,H2T,Bell Helicopter Textron Canada Limitée/ Bell Helicopter Textron Canada Limited
476,C-FYCB,L2T,9115-9996 Québec Inc
477,C-FYGM,L1J,Inconnu
478,C-FYHU,L1P,Christopher O. Elgar
479,C-FYJD,L2J,Sunwing Airlines Inc.
480,C-FYJE,L2J,Air Canada Rouge Lp
481,C-FYJG,L2J,Air Canada Rouge Lp
482,C-FYJH,L2J,Air Canada Rouge Lp
483,C-FYJO,L2J,Sunwing Airlines Inc.
484,C-FYKC,L2J,Air Canada
