,airport,lon,lat,coutry,sub
159,KIXD,-94.8903055555556,38.8309166666667,US,Kansas
160,KLWM,-71.1235333333333,42.7170422222222,US,Massachusetts
161,CSN3,-74.0618972778,45.7803001404,CA,Quebec
162,KGED,-75.3593044444444,38.6876327777778,US,Delaware
163,KMDW,-87.7524166666667,41.7859722222222,US,Illinois
164,KFME,-76.7594144444444,39.0853866666667,US,Maryland
165,LEZL,-5.8931097984,37.4179992676,ES,Andalusia
166,OTBD,51.5651016235,25.261100769,QA,Baladiyat-ad-Dawḩah
167,KAUW,-89.62700175,44.9262845277778,US,Wisconsin
168,TLPL,-60.952599,13.7332,LC,Vieux-Fort
169,MGGT,-90.5274963379,14.5832996368,GT,Guatemala
170,EHAM,4.7638897896,52.3086013794,NL,North Holland
171,1NK8,-75.841305,42.1917425,US,New York
172,CYZV,-66.2656021118,50.2233009338,CA,Quebec
173,CYQB,-71.3933029175,46.7910995483,CA,Quebec
174,CYRI,-69.5847015381,47.7644004822,CA,Quebec
175,FD30,-80.5261658333333,27.4114288888889,US,Florida
176,CYQF,-113.8939971924,52.1822013855,CA,Alberta
177,KDET,-83.0101738888889,42.4093275,US,Michigan
178,KMTN,-76.4137777777778,39.3256666666667,US,Maryland
179,KPTK,-83.4205056388889,42.6656361944444,US,Michigan
180,CSZ3,-74.5836029053,46.1542015076,CA,Quebec
181,1AZ2,,,,
182,LIML,9.2767400742,45.445098877,IT,Lombardy
183,91IN,-85.9747222222222,39.2080555555556,US,Indiana
184,KSJC,-121.928620555556,37.3629947222222,US,California
185,CYHS,-81.0627975464,44.1582984924,CA,Ontario
186,MPMG,-79.5556030273,8.9733400345,PA,Panama
187,EGMC,0.695555985,51.5713996887,GB,England
188,CYYT,-52.7518997192,47.618598938,CA,Newfoundland and Labrador
189,4VA8,-77.2958111111111,37.6137555555556,US,Virginia
190,KLDJ,-74.2445941666667,40.6174494444444,US,New Jersey
191,CYND,-75.5635986328,45.5217018127,CA,Quebec
192,EGNS,-4.6238899231,54.0833015442,IM,Castletown
193,KWST,-71.8034168333333,41.3496329722222,US,Rhode Island
194,CPE6,-79.3233032227,45.8210983276,CA,Ontario
195,KFXE,-80.1707062777778,26.1972793611111,US,Florida
196,KSGS,-93.0328611111111,44.8571388888889,US,Minnesota
197,TVSV,-61.210899353,13.1443004608,VC,Saint-George
198,CSX3,-73.2326853275,45.4470727938,CA,Quebec
199,CT36,-72.1973011111111,41.5645425,US,Connecticut
200,KREI,-117.146388888889,34.08525,US,California
201,CCF4,-63.2996821404,44.7099936874,CA,Nova Scotia
202,CCK5,-80.7456064224,44.6449639588,CA,Ontario
203,RI20,,,,
204,KNUQ,-122.049129166667,37.4161438888889,US,California
205,EGLF,-0.7763329744,51.2757987976,GB,England
206,KNKX,-117.143188388889,32.8685289722222,US,California
207,KSGJ,-81.3397291666667,29.9592502777778,US,Florida
208,KLNS,-76.2943611111111,40.1223611111111,US,Pennsylvania
209,KSOP,-79.3890336111111,35.2374225,US,North Carolina
210,CNP8,-79.0130281448,44.1336968141,CA,Ontario
211,CA84,,,,
212,LFHV,4.634931,45.919983,FR,Auvergne-Rhone-Alpes
213,EGCC,-2.2749500275,53.3536987305,GB,England
214,KPGD,-81.9908861111111,26.9185925,US,Florida
215,KADS,-96.8364444444444,32.9685555555556,US,Texas
216,CSV8,-79.7272896767,43.9861452438,CA,Ontario
217,2KY4,-85.8136111111111,37.655,US,Kentucky
218,CNP3,-76.3657989502,45.4136009216,CA,Ontario
219,LFHC,5.1872200966,45.8697013855,FR,Auvergne-Rhone-Alpes
220,LEBL,2.0784599781,41.2971000671,ES,Catalonia
221,K02C,-88.1794444444444,43.0896388888889,US,Wisconsin
222,ME91,-70.4956083333333,43.6750797222222,US,Maine
223,EDLV,6.1421699524,51.6024017334,DE,Nordrhein-Westfalen
224,CRG3,,,,
225,5TX4,,,,
226,KGAI,-77.166,39.1683333333333,US,Maryland
227,KJST,-78.8346666666667,40.3155555555556,US,Pennsylvania
228,KPSF,-73.2908398055555,42.4276201111111,US,Massachusetts
229,3TE9,,,,
230,KCXY,-76.8513611111111,40.2171388888889,US,Pennsylvania
231,LFMN,7.2158699036,43.6584014893,FR,Provence-Alpes-Cote-d'Azur
232,LIRA,12.5949001312,41.7994003296,IT,Latium
233,KALB,-73.80198,42.7491161111111,US,New York
234,LJLJ,14.4575996399,46.2237014771,SI,Cerklje-na-Gorenjskem
235,MMPC,-98.7825012207,20.0774002075,MX,Hidalgo
236,NY24,-78.9700419444444,43.1278333333333,US,New York
237,KMKC,-94.5928333333333,39.1229444444444,US,Missouri
238,KDMW,-77.0076666666667,39.6082777777778,US,Maryland
239,CPN8,,,,
240,KBIV,-86.1078333333333,42.7427777777778,US,Michigan
241,FL86,-82.0984252777778,26.5825755555556,US,Florida
242,CYQS,-81.1108016968,42.7700004578,CA,Ontario
243,LFBO,1.3638199568,43.6291007996,FR,Occitanie
244,ME66,,,,
