,code,type,company
2596,N723FD,L2J,OTHERS
2597,N723UW,L2J,OTHERS
2598,N723YX,L2J,REPUBLIC AIRWAYS INC
2599,N724EH,L2J,OTHERS
2600,N724FD,L2J,OTHERS
2601,N724SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2602,N724UW,L2J,OTHERS
2603,N724YX,L2J,REPUBLIC AIRWAYS INC
2604,N725FD,L2J,OTHERS
2605,N725PS,L2J,AMERICAN AIRLINES INC
2606,N725UW,L2J,OTHERS
2607,N725YX,L2J,REPUBLIC AIRWAYS INC
2608,N726FD,L2J,OTHERS
2609,N726QS,L2J,OTHERS
2610,N726YX,L2J,REPUBLIC AIRWAYS INC
2611,N727FD,L2J,OTHERS
2612,N727PR,L2J,OTHERS
2613,N727QS,L2J,OTHERS
2614,N727YX,L2J,REPUBLIC AIRWAYS INC
2615,N728FD,L2J,OTHERS
2616,N728QS,L2J,OTHERS
2617,N728SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2618,N728YX,L2J,REPUBLIC AIRWAYS INC
2619,N729AT,L2J,OTHERS
2620,N729FD,L2J,OTHERS
2621,N729YX,L2J,REPUBLIC AIRWAYS INC
2622,N730EV,L2J,OTHERS
2623,N730FD,L2J,OTHERS
2624,N730SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2625,N730US,L2J,AMERICAN AIRLINES INC
2626,N730YX,L2J,REPUBLIC AIRWAYS INC
2627,N731FD,L2J,OTHERS
2628,N731YX,L2J,REPUBLIC AIRWAYS INC
2629,N732FD,L2J,OTHERS
2630,N732US,L2J,AMERICAN AIRLINES INC
2631,N732YX,L2J,REPUBLIC AIRWAYS INC
2632,N733CF,L2J,OTHERS
2633,N733FD,L2J,OTHERS
2634,N733UW,L2J,AMERICAN AIRLINES INC
2635,N733YX,L2J,OTHERS
2636,N735XL,L2J,OTHERS
2637,N736,L1T,OTHERS
2638,N736YX,L2J,REPUBLIC AIRWAYS INC
2639,N737US,L2J,BANK OF UTAH TRUSTEE
2640,N738EV,L2J,OTHERS
2641,N738QS,L2J,OTHERS
2642,N738US,L2J,BANK OF UTAH TRUSTEE
2643,N739YX,L2J,REPUBLIC AIRWAYS INC
2644,N740EV,L2J,OTHERS
2645,N740FD,L2J,OTHERS
2646,N740KD,L2J,OTHERS
2647,N740SK,L2J,OTHERS
2648,N740SS,L2J,OTHERS
2649,N740UW,L2J,BANK OF UTAH TRUSTEE
2650,N740YX,L2J,REPUBLIC AIRWAYS INC
2651,N741EV,L2J,OTHERS
2652,N741UW,L2J,BANK OF UTAH TRUSTEE
2653,N741YX,L2J,OTHERS
2654,N742FD,L2J,OTHERS
2655,N742PS,L2J,BANK OF UTAH TRUSTEE
2656,N742QS,L2J,OTHERS
2657,N742YX,L2J,OTHERS
2658,N743FD,L2J,OTHERS
2659,N743SK,L2J,OTHERS
2660,N743YX,L2J,OTHERS
2661,N744C,L3J,OTHERS
2662,N744EV,L2J,OTHERS
2663,N744P,L2J,BANK OF UTAH TRUSTEE
2664,N744SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2665,N744YX,L2J,OTHERS
2666,N745FD,L2J,OTHERS
2667,N745SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2668,N745VJ,L2J,BANK OF UTAH TRUSTEE
2669,N745YX,L2J,OTHERS
2670,N7462C,L1P,OTHERS
2671,N746FD,L2J,OTHERS
2672,N746SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2673,N746UW,L2J,BANK OF UTAH TRUSTEE
2674,N746YX,L2J,OTHERS
2675,N747UW,L2J,BANK OF UTAH TRUSTEE
2676,N747YX,L2J,OTHERS
2677,N748EV,L2J,OTHERS
2678,N748SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2679,N748UW,L2J,BANK OF UTAH TRUSTEE
2680,N748YX,L2J,OTHERS
2681,N749FD,L2J,OTHERS
2682,N749US,L2J,BANK OF UTAH TRUSTEE
2683,N749YX,L2J,OTHERS
2684,N750EV,L2J,OTHERS
2685,N750GX,L2J,OTHERS
2686,N750NA,L2J,OTHERS
2687,N750SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2688,N750UW,L2J,BANK OF UTAH TRUSTEE
2689,N750XX,L2J,OTHERS
2690,N750YX,L2J,OTHERS
2691,N751EV,L2J,OTHERS
2692,N751FD,L2J,OTHERS
2693,N751UW,L2J,BANK OF UTAH TRUSTEE
2694,N752EV,L2J,OTHERS
2695,N752LP,L2J,OTHERS
2696,N752US,L2J,BANK OF UTAH TRUSTEE
2697,N753SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2698,N753US,L2J,BANK OF UTAH TRUSTEE
2699,N754EV,L2J,OTHERS
2700,N754UW,L2J,BANK OF UTAH TRUSTEE
2701,N755EV,L2J,OTHERS
2702,N755US,L2J,BANK OF UTAH TRUSTEE
2703,N756CA,L4J,OTHERS
2704,N756US,L2J,BANK OF UTAH TRUSTEE
2705,N757PC,L2J,OTHERS
2706,N757UW,L2J,BANK OF UTAH TRUSTEE
2707,N758PC,L1T,OTHERS
2708,N758SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2709,N758US,L2J,BANK OF UTAH TRUSTEE
2710,N75TX,L2J,OTHERS
2711,N760CK,L2J,OTHERS
2712,N760US,L2J,BANK OF UTAH TRUSTEE
2713,N761ND,L2J,OTHERS
2714,N762QS,L2J,OTHERS
2715,N762SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2716,N762US,L2J,OTHERS
2717,N763JA,L2J,OTHERS
2718,N763US,L2J,OTHERS
2719,N764QS,L2J,OTHERS
2720,N764US,L2J,OTHERS
2721,N765CK,L2J,OTHERS
2722,N765QS,L2J,OTHERS
2723,N765US,L2J,OTHERS
2724,N766QS,L2J,OTHERS
2725,N766SK,L2J,OTHERS
2726,N766US,L2J,OTHERS
2727,N767AX,L2J,OTHERS
2728,N767QS,L2J,OTHERS
2729,N767SK,L2J,OTHERS
2730,N767UW,L2J,OTHERS
2731,N768SK,L2J,OTHERS
2732,N768US,L2J,OTHERS
2733,N769QS,L2J,OTHERS
2734,N769US,L2J,OTHERS
2735,N770QS,L2J,OTHERS
2736,N770SK,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2737,N770UW,L2J,OTHERS
2738,N771DE,L2J,OTHERS
2739,N771XF,L2J,OTHERS
2740,N772SK,L2J,OTHERS
2741,N772XF,L2J,OTHERS
2742,N773SK,L2J,OTHERS
2743,N774QS,L2J,OTHERS
2744,N774SK,L2J,OTHERS
2745,N774XF,L2J,OTHERS
2746,N775QS,L2J,OTHERS
2747,N776RB,L2J,OTHERS
2748,N776SK,L2J,OTHERS
2749,N7777B,L2J,OTHERS
2750,N777AX,L2J,OTHERS
2751,N777JZ,L1T,OTHERS
2752,N778QS,L2J,OTHERS
2753,N778SK,L2J,OTHERS
2754,N779QS,L2J,OTHERS
2755,N779SK,L2J,OTHERS
2756,N780SK,L2J,OTHERS
2757,N781QS,L2J,OTHERS
2758,N782QS,L2J,OTHERS
2759,N782SK,L2J,OTHERS
2760,N783QS,L2J,OTHERS
2761,N783SK,L2J,OTHERS
2762,N783SL,L3J,OTHERS
2763,N783TW,L2J,OTHERS
2764,N784QS,L2J,OTHERS
2765,N784SK,L2J,OTHERS
2766,N785AF,L1T,OTHERS
