,airportIn,airportOut,company,number
311,CYUL,KTPA,Air Canada Rouge Lp,89
312,CYYC,CYUL,Flair Airlines Ltd,46
313,CYUL,OJAM,Others,46
314,CYUL,KATL,Air Canada,92
315,CYUL,CZBM,Others,46
317,CYUL,KLGA,Bank Of Utah Trustee,90
318,CYUL,CYJN,Others,45
319,CYUL,KFXE,Others,58
320,CYHU,CES2,Others,44
321,CYUL,VT26,Others,53
322,CYUL,EBBR,Air Transat A T Inc.,81
323,CNV9,CYHM,Jazz Aviation Lp,43
324,CYUL,TBPB,Air Canada,82
325,CYHU,CYVB,Others,43
326,CNV9,CYUL,Air Canada Rouge Lp,43
327,CYUL,KALB,Others,61
328,CYUL,CSN3,Others,42
329,CYHM,CYUL,Others,42
330,CNV9,CYYZ,Others,42
331,CYUL,SKBO,Air Canada,83
332,CYHU,CSY3,Others,41
333,CYUL,MMUN,Air Canada Rouge Lp,76
334,CYUL,KDEN,Others,81
335,CYUL,KORD,Republic Airways Inc,65
336,CYYZ,CTR6,Air Canada,40
337,CYUL,CYYC,Flair Airlines Ltd,40
338,CYFJ,CYTZ,Porter Airlines Inc.,40
339,CYUL,CNV9,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,40
340,CYUL,LPPR,Air Transat A T Inc.,77
341,CYYZ,CYQB,Others,39
342,CYTZ,CYFJ,Porter Airlines Inc.,39
343,CYYZ,CTR6,Westjet Encore Ltd.,39
344,CYUL,DAAG,Air Canada,76
345,CNV9,KEWR,Others,39
346,CYUY,CYUL,Air Georgian Limited,39
347,CYTZ,CYUL,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,39
348,CZBM,CSR3,Others,39
349,CYMX,CYWG,Others,38
350,CYUL,KDTW,Air Canada,71
351,CYKZ,CYHU,Others,38
353,CYUL,LGAV,Air Transat A T Inc.,52
354,CYND,CYHU,Others,37
355,CYUL,CYTZ,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,37
356,CYHU,CYKZ,Others,37
357,CYYZ,CYUL,Aviation Starlink Inc.,37
358,CYUL,CYQY,Air Canada,36
359,CSC3,CYHU,Others,36
360,CYUL,KMIA,American Airlines Inc,72
361,CYMX,CTR6,Others,36
362,CYRQ,CYUL,Others,39
363,CYQY,CYUL,Air Canada,36
364,CYUL,CYQG,Others,36
365,CSR3,CZBM,Others,36
366,CYKF,CYUL,Others,35
367,CYUL,CCF4,Porter Airlines Inc.,35
368,CYUL,CYKF,Others,35
369,CYUL,LIPZ,Air Transat A T Inc.,69
370,CYUL,KSFO,Air Transat A T Inc.,68
371,CZBM,CSQ3,Others,34
372,CYYZ,CYQB,Westjet Encore Ltd.,34
373,CYYZ,CYQB,Jazz Aviation Lp,34
374,CYUL,KLCK,Others,34
375,CYUL,KPHX,Air Canada Rouge Lp,63
376,CYYC,CYQB,Air Canada Rouge Lp,34
377,CYUL,KORD,Wells Fargo Trust Co Na Trustee,66
378,CYUL,MMMX,Others,66
379,CYUL,CYRQ,Others,37
380,CYMX,CSZ3,Others,33
381,CNV9,KORD,American Airlines Inc,33
382,CYWG,CYMX,Others,33
383,CYUL,KDFW,Bank Of Utah Trustee,60
384,CYUL,CYOO,Others,32
385,CYUL,KPHL,Others,53
386,CYUL,KFOK,Others,60
387,CNV9,CYYZ,Jazz Aviation Lp,32
388,CYHU,CNL3,Others,32
389,CYUL,LFHC,Air Transat A T Inc.,41
390,CYUL,LFMN,Air Transat A T Inc.,59
391,CYUL,CSK5,Jazz Aviation Lp,31
392,CYUL,KMSP,Air Canada,55
393,CYQG,CYUL,Others,30
394,CYUL,71MI,Delta Air Lines,30
395,CNL3,CYHU,Others,30
396,CYUL,KLNA,Others,46
397,CYOO,CYMX,Bank Of Utah Trustee,30
398,CYUL,CSZ3,Others,30
399,CYMX,CSA2,Others,29
400,CYHU,CYND,Others,29
401,CYUL,CYYZ,Aviation Starlink Inc.,29
402,CYUL,KPMP,Air Canada Rouge Lp,31
403,CYHU,CSG3,Others,29
404,CSG3,CSM5,Others,29
405,CYUL,MDBG,Air Transat A T Inc.,29
406,CYHU,CSE4,Others,29
407,CYUL,CYKZ,Others,28
408,CYEG,CYUL,Others,28
409,CYTZ,CTR6,Porter Airlines Inc.,28
410,CYHU,CYOO,Others,28
411,CYRQ,CYMX,Others,28
412,CYRO,CYND,Others,28
414,CSZ3,CSA2,Others,28
415,CYYG,CYUL,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,28
416,CYSC,CZBM,Others,28
417,CYHZ,CYMX,Others,27
418,CYMX,CYOO,Bank Of Utah Trustee,27
419,CYUL,KMIA,Wells Fargo Trust Co Na Trustee,53
420,CSE4,CYHU,Others,27
421,CYUL,2NC1,American Airlines Inc,27
422,CYHU,CSQ3,Others,27
423,CYUL,LFLL,Air Transat A T Inc.,40
424,CYUL,KTEB,Bank Of Utah Trustee,46
425,CYQB,CYYZ,Air Canada Rouge Lp,27
426,CYOW,CTR6,Others,27
427,CSE4,CYCC,Others,26
428,CYUL,CSJ4,Others,32
429,CYUL,KAKH,Others,27
430,CSY3,CYHU,Others,26
431,CYUL,CYUL,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,26
432,CYOO,CYUL,Others,26
433,CYUL,MMUN,Others,50
434,CYUL,2NC1,Bank Of Utah Trustee,26
435,CYUL,CCY4,Porter Airlines Inc.,26
436,CYYG,CYUL,Air Canada,26
437,CYUL,CCY4,Others,26
438,CYUL,CNV9,Air Georgian Limited,26
439,CYUL,KPMP,Others,38
440,CYUL,KFRG,Others,49
441,CYUL,CTR6,Air Transat A T Inc.,25
442,CYUL,LFHN,Air Canada,30
443,CYUL,CCY4,Jazz Aviation Lp,25
444,CYND,CSC3,Others,25
445,CYUL,KF45,Others,26
446,CYUL,CYYT,Jazz Aviation Lp,25
447,CYUL,VT52,Others,42
448,CYHZ,CYMX,Cargojet Airways Ltd.,25
449,CYMX,CSJ4,Others,25
450,CYUL,KPSM,Others,48
451,CNV9,CYVR,Air Canada Rouge Lp,25
453,CYQB,CYUL,Air Canada Rouge Lp,24
454,CYMX,NY60,Bank Of Utah Trustee,24
455,CYUL,KPWK,Others,44
456,CYUL,86MI,Delta Air Lines,25
457,CYUL,CYVR,Westjet,24
458,CYUL,CCF4,Jazz Aviation Lp,24
459,CSA2,CSZ3,Others,24
460,CSB3,CYSC,Others,24
461,CYUL,KPHX,Air Canada,48
462,CSG3,CYHU,Others,24
463,CYCC,CSE4,Others,24
464,CYUL,KSEA,Others,46
465,CYLW,CYUL,Air Canada,24
466,CYVR,CYUL,Westjet,24
467,CYUL,LFNR,Air Transat A T Inc.,26
468,CYUL,KCLT,Wells Fargo Trust Co Na Trustee,34
469,CYHU,KHPN,Others,41
470,CYUL,KORD,Cargojet Airways Ltd.,42
471,CSA2,CLA2,Others,23
472,CYOW,CYUL,Sunwing Airlines Inc.,23
473,CYOW,CYUL,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,23
474,CYUL,CYOW,Sunwing Airlines Inc.,23
475,CYTZ,CYQB,Porter Airlines Inc.,23
476,CSA2,CYMX,Others,23
477,CYUL,CSJ5,Others,23
478,CYUL,MGGT,Sunwing Airlines Inc.,45
479,CYHU,CSB3,Others,23
480,CYUL,KMMU,Others,39
481,CYUL,LFMN,Others,44
482,CSA2,CSJ4,Others,22
483,CYUL,CYUL,Aviation Starlink Inc.,22
484,CYHU,CSK4,Others,22
485,CYOO,CYHU,Others,22
486,CYHU,CYJN,Others,22
487,CYHU,CSU3,Others,22
488,CYMX,CSY3,Others,22
489,CNV9,CYYC,Air Canada Rouge Lp,22
