,airportIn,airportOut,company,number
627,CYQB,CYYZ,WESTJET ENCORE LTD.,15
631,CSN3,CYUL,OTHERS,15
634,CYFJ,CYTZ,OTHERS,15
636,CSY4,CSA2,OTHERS,15
638,CYRO,CYHU,OTHERS,15
639,CYND,CTR6,OTHERS,15
640,CYZV,CYUL,OTHERS,15
641,CYRQ,CSC3,OTHERS,15
643,CYUL,CYQY,OTHERS,15
644,CSY3,CYMX,OTHERS,15
645,CZBM,CSB3,OTHERS,15
646,CYMX,CYYZ,AIR CANADA,14
647,CYUL,CYOW,CARGOJET AIRWAYS LTD.,14
648,CYMX,CYRQ,OTHERS,14
649,CYOW,CZBM,OTHERS,14
653,CYUL,CCY4,FLAIR AIRLINE,14
654,CYHU,CSZ3,OTHERS,14
655,CYHM,CYMX,AIR CANADA,14
656,CYMX,CYQB,OTHERS,14
657,CYUY,CYSB,AIR GEORGIAN LIMITED,14
658,CSJ4,CYRQ,OTHERS,14
659,CSA2,CYJN,OTHERS,14
661,CYOW,CYUL,CARGOJET AIRWAYS LTD.,14
662,CYRQ,CTR6,OTHERS,14
663,CYHU,CYFJ,OTHERS,14
664,CSC3,CYRQ,OTHERS,14
665,CYFJ,CYUL,AVIATION STARLINK INC.,14
666,CYUL,CHG2,AIR CANADA,14
668,CYRQ,CYSN,OTHERS,14
671,CYTZ,CYMX,OTHERS,14
672,CYHU,CYHZ,OTHERS,14
674,CYYZ,CYUY,AIR GEORGIAN LIMITED,14
677,CYRQ,CZBM,OTHERS,13
679,CSE4,CSZ3,OTHERS,13
680,CYKF,CSE4,OTHERS,13
681,CSB3,CZBM,OTHERS,13
682,CYXU,CYUL,OTHERS,13
683,CYUL,CSY3,OTHERS,16
686,CYMX,CSE4,OTHERS,13
689,CSY4,CYMX,OTHERS,13
691,CYHU,CNF3,OTHERS,13
692,CYHU,CTR6,OTHERS,13
693,CYMX,CYUL,AIR CANADA,13
694,CZBM,CYRQ,OTHERS,13
696,CST3,CPR2,OTHERS,13
699,CSB3,CYUL,OTHERS,13
701,CFQ7,CYUL,AIR CANADA,13
703,CYOW,CYUL,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,13
705,CYWG,CYMX,AIR CANADA,13
706,CYMX,CYND,OTHERS,13
708,CYND,CYMX,OTHERS,12
709,CYRO,CYMX,OTHERS,12
710,CYUL,CSB3,OTHERS,12
711,CSR3,CSC3,OTHERS,12
712,CYUL,CYUL,BANK OF UTAH TRUSTEE,12
714,CYUL,CYEG,FLAIR AIRLINE,12
715,CYMX,CYSC,OTHERS,12
716,CYKF,CYHU,OTHERS,12
717,CST3,CYMX,OTHERS,12
718,CYUL,CYOW,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,12
719,CYHU,CSL5,OTHERS,12
720,CSY3,CSB3,OTHERS,12
721,CYHU,CSJ5,OTHERS,12
724,CYHM,CYHU,OTHERS,12
725,CYHU,CYCC,OTHERS,12
726,CYUL,CFQ7,FLAIR AIRLINE,12
728,CYUL,CNF3,OTHERS,12
733,CYHU,CSY4,OTHERS,12
734,CZBM,CSE4,OTHERS,12
736,CYHU,CYHM,OTHERS,12
738,CYTZ,CYFJ,OTHERS,12
739,CYMX,CLA2,OTHERS,12
743,CYHU,CSD4,OTHERS,12
744,CSB3,CSM3,OTHERS,12
745,CYUL,CSC3,OTHERS,12
747,CSA2,CSG3,OTHERS,12
749,CYUL,CFQ7,OTHERS,12
752,CYCC,CYHU,OTHERS,11
754,CSC3,CZBM,OTHERS,11
755,CSE4,CZBM,OTHERS,11
757,CYHU,CYWG,OTHERS,11
758,CYMX,CSM5,OTHERS,11
760,CYFJ,CYHU,OTHERS,11
764,CSA2,CSY3,OTHERS,11
767,CYSB,CYUY,AIR GEORGIAN LIMITED,11
769,CSG3,CSA2,OTHERS,11
771,CSC3,CSU3,OTHERS,11
772,CYRQ,CSG3,OTHERS,11
773,CYUL,CYOW,AVIATION STARLINK INC.,11
774,CYTZ,CYUL,AVIATION STARLINK INC.,11
777,CYMX,CYWG,AIR CANADA,11
779,CYYZ,CYHU,AIRSPRINT INC.,11
781,CYJN,CSR3,OTHERS,11
783,CYXU,CYHU,OTHERS,11
784,CYJN,CSE4,OTHERS,11
785,CYHU,CYQG,OTHERS,11
786,CYMX,CYJN,OTHERS,11
787,CYQG,CYHU,OTHERS,11
789,CYJN,CSC3,OTHERS,10
791,CSU3,CSC3,OTHERS,10
793,CYSN,CYRQ,OTHERS,10
794,CYHZ,CYUL,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,10
796,CYSC,CYYZ,OTHERS,10
798,CYHM,CYUL,AIRSPRINT INC.,10
800,CYHZ,CYUL,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,10
801,CYUY,CYHU,OTHERS,10
803,CYUL,CYRP,OTHERS,10
804,CYQB,CYHU,OTHERS,10
806,CCV4,CYUL,AIR CANADA,10
812,CYMW,CYHU,OTHERS,10
814,CSE4,CYKF,OTHERS,10
815,CTA4,CYUL,OTHERS,10
816,CYMX,CST3,OTHERS,10
817,CSA2,CYRQ,OTHERS,10
819,CSB3,CYRQ,OTHERS,10
820,CSE4,CYJN,OTHERS,10
822,CYRQ,CSU3,OTHERS,10
824,CYHU,CYQB,OTHERS,10
825,CSA2,CSM5,OTHERS,10
827,CYUL,CYOW,AIRSPRINT INC.,10
829,CYRQ,CSJ5,OTHERS,10
830,CZBM,CYYZ,OTHERS,10
831,CSY4,CYHU,OTHERS,10
833,CYUL,CSQ3,OTHERS,10
834,CYHU,CTG3,OTHERS,10
835,CYRP,CYUL,OTHERS,10
837,CSB3,CSQ3,OTHERS,10
838,CYYZ,CYUL,BANK OF UTAH TRUSTEE,10
839,CYND,CYOO,OTHERS,10
840,CYVB,CTG3,OTHERS,10
841,CYUL,CYHM,BANK OF UTAH TRUSTEE,10
842,CSU3,CSR3,OTHERS,10
843,CZBM,CYOW,OTHERS,10
845,CLA2,CYMX,OTHERS,10
847,CYUL,CYUL,AIR GEORGIAN LIMITED,10
848,CYYZ,CZBM,OTHERS,10
849,CYUL,CYHU,AIRSPRINT INC.,9
851,CSA2,CSN3,OTHERS,9
853,CYHU,CSM5,OTHERS,9
854,CYSC,CSQ3,OTHERS,9
855,CYUL,CSM5,OTHERS,9
857,CSB3,CSR3,OTHERS,9
860,CYPQ,CYHU,OTHERS,9
861,CYMX,CAA2,OTHERS,9
864,CYOO,CYND,OTHERS,9
869,CYJN,CYSC,OTHERS,9
870,CYGK,CYHU,OTHERS,9
873,CYOW,CYND,OTHERS,9
876,CYUL,CYTZ,AVIATION STARLINK INC.,9
878,CYUL,CCV4,JAZZ AVIATION LP,9
879,CYUL,CYQB,SUNWING AIRLINES INC.,9
881,CYUL,CYFJ,AVIATION STARLINK INC.,9
882,CPR2,CYND,OTHERS,9
885,CYTZ,CYND,OTHERS,9
886,CYUL,CYYG,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,9
888,CFQ7,CYUL,FLAIR AIRLINE,9
889,CYFJ,CYUL,OTHERS,9
890,CYYT,CYUL,JAZZ AVIATION LP,9
892,CSG3,CSC3,OTHERS,9
894,CYND,CSB3,OTHERS,9
896,CYUL,CTR6,AVIATION STARLINK INC.,9
897,CYJN,CSB3,OTHERS,9
899,CYMX,CYHM,AIR CANADA,9
900,CYJN,CYMX,OTHERS,9
901,CYPQ,CYUL,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,9
903,CYND,CYUL,OTHERS,10
905,CSE4,CYMX,OTHERS,9
906,CYUL,CYHM,AIRSPRINT INC.,9
907,CSC3,CSJ5,OTHERS,9
908,CYRQ,CYHM,OTHERS,9
909,CSE4,CTR6,OTHERS,9
910,CSB3,CYJN,OTHERS,9
911,CYHU,CSH5,AIR GEORGIAN LIMITED,9
912,CLA2,CYHU,OTHERS,9
913,CSE4,CYUL,OTHERS,9
914,CYND,CSE4,OTHERS,9
916,CYXE,CYUL,AIR CANADA,9
917,CCP3,CYHU,OTHERS,9
918,CYUL,CSD4,OTHERS,9
919,CYUL,CSM3,OTHERS,9
921,CYHU,CTE5,OTHERS,9
922,CYHU,CYGK,OTHERS,8
923,CYRP,CYMW,OTHERS,8
924,CYUL,CYRO,OTHERS,8
926,CYUL,CYND,OTHERS,9
927,CYUL,CYHM,PORTER AIRLINES INC.,8
929,CYFJ,CYQG,OTHERS,8
931,CYRQ,CSJ4,OTHERS,8
932,CYRP,CYHU,OTHERS,8
933,CSQ3,CZBM,OTHERS,8
934,CYUL,CPS2,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,8
